n_sites,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
3,1.0,0.5,0.5,uniform_x,2.0,0.125,16,2.0,mass_density,exact,-0.007412552465313964,0.0,0.0,0.0,8.141635513917814e-16,0.48525924662571074,0.24610975038612132,0.06065740582821384,0.0038454648497831456
3,1.0,0.5,0.5,uniform_x,2.0,0.125,16,2.0,mass_density,trotter1,-0.010247244075344757,0.0028346916100307935,0.07643018529302396,0.005841573223925978,9.62193288008469e-16,0.48525924662571074,0.24610975038612132,0.06065740582821384,0.0038454648497831456
3,1.0,0.5,0.5,uniform_x,2.0,0.125,16,2.0,mass_density,trotter2,-0.010247244075344816,0.0028346916100308525,0.00848535710295108,7.200128516460236e-05,2.3314683517128287e-15,0.48525924662571074,0.24610975038612132,0.06065740582821384,0.0038454648497831456
3,1.0,0.5,0.5,uniform_x,2.0,0.0625,32,2.0,mass_density,exact,-0.007412552465313964,0.0,0.0,0.0,8.141635513917814e-16,0.48525924662571074,0.24610975038612132,0.03032870291410692,0.0009613662124457864
3,1.0,0.5,0.5,uniform_x,2.0,0.0625,32,2.0,mass_density,trotter1,-0.008116679294953088,0.0007041268296391241,0.03793060677677931,0.001438730930454657,5.070018479121548e-15,0.48525924662571074,0.24610975038612132,0.03032870291410692,0.0009613662124457864
3,1.0,0.5,0.5,uniform_x,2.0,0.0625,32,2.0,mass_density,trotter2,-0.008116679294953247,0.0007041268296392837,0.002111133059715199,4.456882795822459e-06,4.440892098500626e-16,0.48525924662571074,0.24610975038612132,0.03032870291410692,0.0009613662124457864
3,1.0,0.5,0.5,uniform_x,2.0,0.03125,64,2.0,mass_density,exact,-0.007412552465313964,0.0,0.0,0.0,8.141635513917814e-16,0.48525924662571074,0.24610975038612132,0.01516435145705346,0.0002403415531114466
3,1.0,0.5,0.5,uniform_x,2.0,0.03125,64,2.0,mass_density,trotter1,-0.007588303381753375,0.00017575091643941103,0.01890788090917413,0.0003575079604755116,5.329070518200751e-15,0.48525924662571074,0.24610975038612132,0.01516435145705346,0.0002403415531114466
3,1.0,0.5,0.5,uniform_x,2.0,0.03125,64,2.0,mass_density,trotter2,-0.007588303381754036,0.00017575091644007196,0.000527149499521783,2.7788659484606626e-07,3.1086244689504383e-15,0.48525924662571074,0.24610975038612132,0.01516435145705346,0.0002403415531114466
3,1.0,0.5,0.5,uniform_x,4.0,0.5,8,4.0,mass_density,exact,0.07004516891569082,0.0,0.0,0.0,1.1842378929335002e-15,0.5155405874163971,0.014195067014388198,0.25777029370819854,0.0035487667535970494
3,1.0,0.5,0.5,uniform_x,4.0,0.5,8,4.0,mass_density,trotter1,0.017152786174552716,0.052892382741138104,0.4537492235089775,0.20588835783500004,1.3322676295501878e-15,0.5155405874163971,0.014195067014388198,0.25777029370819854,0.0035487667535970494
3,1.0,0.5,0.5,uniform_x,4.0,0.5,8,4.0,mass_density,trotter2,0.017152786174552792,0.05289238274113803,0.2450028296781323,0.06002638655029191,1.1102230246251565e-16,0.5155405874163971,0.014195067014388198,0.25777029370819854,0.0035487667535970494
3,1.0,0.5,0.5,uniform_x,4.0,0.25,16,4.0,mass_density,exact,0.07004516891569082,0.0,0.0,0.0,1.1842378929335002e-15,0.5155405874163971,0.014195067014388198,0.12888514685409927,0.0008871916883992624
3,1.0,0.5,0.5,uniform_x,4.0,0.25,16,4.0,mass_density,trotter1,0.058585193085876265,0.011459975829814555,0.1768413878851834,0.031272876469157884,1.0362081563168128e-15,0.5155405874163971,0.014195067014388198,0.12888514685409927,0.0008871916883992624
